radius (m),length (m),xy,y,z,axis_direction,,,branch,branch_order
0.0018,0.0904,-14.1868,144.425,162.25,0.1218,0.0002,0.9926,4,1
0.0307,0.2004,-14.1608,143.686,159.438,-0.1338,-0.9823,0.1314,5,1
0.0298,0.1251,-14.1845,143.489,159.465,-0.2036,-0.9465,0.2503,5,1
0.0262,0.1086,-14.2084,143.37,159.499,-0.5441,-0.835,-0.0818,5,1
0.023,0.1391,-14.2686,143.279,159.487,-0.5383,-0.825,0.1723,5,1
0.0214,0.1213,-14.3444,143.164,159.51,-0.4277,-0.7775,0.4611,5,1
0.0232,0.0882,-14.3971,143.062,159.558,-0.3584,-0.6303,0.6887,5,1
0.0198,0.0929,-14.43,143.004,159.616,-0.3666,-0.6378,0.6774,5,1
0.0185,0.0689,-14.4654,142.943,159.677,-0.3668,-0.6528,0.6629,5,1
0.0183,0.123,-14.4904,142.896,159.721,-0.3667,-0.6112,0.7014,5,1
0.0182,0.1283,-14.5367,142.822,159.807,-0.3487,-0.5754,0.7398,5,1
0.0183,0.0665,-14.5822,142.747,159.901,-0.2991,-0.5397,0.7869,5,1
0.0181,0.1404,-14.6054,142.708,159.95,-0.292,-0.4967,0.8173,5,1
0.0179,0.0635,-14.647,142.638,160.065,-0.2769,-0.5027,0.8189,5,1
0.0151,0.0662,-14.6632,142.605,160.117,-0.6115,-0.6056,0.5093,5,1
0.0174,0.066,-14.7007,142.565,160.175,-0.7421,-0.6634,0.0953,5,1
0.0159,0.0824,-14.7506,142.521,160.179,-0.6634,-0.7412,0.1029,5,1
0.016,0.0609,-14.8054,142.46,160.185,-0.6103,-0.7378,0.2884,5,1
0.015,0.1057,-14.8422,142.412,160.2,-0.6272,-0.6489,0.4307,5,1
0.0128,0.0848,-14.9102,142.343,160.243,-0.5559,-0.5434,0.629,5,1
0.013,0.0878,-14.9573,142.296,160.296,-0.4997,-0.4764,0.7234,5,1
0.0128,0.0681,-15.0015,142.249,160.358,-0.4176,-0.245,0.875,5,1
0.0127,0.071,-15.0305,142.227,160.413,-0.7705,-0.3576,0.5277,5,1
0.0189,0.0988,-15.0924,142.21,160.449,-0.638,-0.3892,0.6644,5,1
0.0127,0.0532,-15.1689,142.173,160.5,-0.678,-0.4314,0.5952,5,1
0.0083,0.0853,-15.2109,142.15,160.526,-0.6623,-0.3725,0.6501,5,1
0.0076,0.0828,-15.2667,142.118,160.582,-0.5886,-0.3774,0.7149,5,1
0.0069,0.0606,-15.3169,142.087,160.64,-0.5653,-0.3329,0.7547,5,1
0.0061,0.1024,-15.3526,142.068,160.685,-0.5784,-0.2715,0.7692,5,1
0.0063,0.0748,-15.4063,142.036,160.766,-0.5661,-0.2214,0.794,5,1
0.0063,0.0499,-15.4489,142.019,160.826,-0.5369,-0.1759,0.8251,5,1
0.0033,0.0771,-15.4833,142.01,160.863,-0.4787,-0.1968,0.8557,5,1
0.0039,0.1063,-15.5211,141.995,160.928,-0.4474,-0.2433,0.8606,5,1
0.0031,0.0506,-15.5688,141.968,161.019,-0.3241,-0.2162,0.921,5,1
