radius (m),length (m),x,y,z,axis_direction,,,branch,branch_order
0.0532,0.0785,-27.6954,129.807,158.76,-0.7123,0.1127,0.6928,5,1
0.0404,0.0971,-27.743,129.817,158.821,-0.6612,0.324,0.6767,5,1
0.0368,0.0766,-27.807,129.848,158.888,-0.8417,0.2132,0.496,5,1
0.037,0.0828,-27.874,129.863,158.923,-0.8125,0.1516,0.5629,5,1
0.0386,0.073,-27.9427,129.875,158.968,-0.7642,0.1794,0.6195,5,1
0.0355,0.0764,-27.9992,129.889,159.012,-0.7359,0.1245,0.6656,5,1
0.0358,0.0859,-28.0553,129.899,159.063,-0.7632,0.0857,0.6404,5,1
0.0354,0.1073,-28.1229,129.907,159.115,-0.7369,0.0498,0.6741,5,1
0.0327,0.0908,-28.2018,129.913,159.188,-0.7155,-0.034,0.6978,5,1
0.0339,0.0806,-28.266,129.909,159.252,-0.7643,-0.0026,0.6449,5,1
0.037,0.1324,-28.3277,129.916,159.309,-0.9744,-0.1454,0.1715,5,1
0.0349,0.1116,-28.4602,129.9,159.327,-0.8155,-0.5506,0.1783,5,1
0.0325,0.1241,-28.5422,129.836,159.355,-0.6051,-0.6566,0.4503,5,1
0.0311,0.0748,-28.6194,129.755,159.41,-0.6123,-0.5415,0.5761,5,1
0.0316,0.1322,-28.6657,129.715,159.453,-0.591,-0.5556,0.5848,5,1
0.0305,0.0617,-28.7416,129.634,159.53,-0.7032,-0.2042,0.681,5,1
0.0272,0.1944,-28.7935,129.602,159.57,-0.6041,0.1855,0.775,5,1
0.0253,0.0937,-28.9123,129.637,159.719,-0.7522,-0.1256,0.6469,5,1
0.0205,0.1083,-28.983,129.621,159.777,-0.8345,-0.3078,0.457,5,1
0.0185,0.0865,-29.0744,129.588,159.824,-0.8482,-0.2668,0.4576,5,1
0.0193,0.0616,-29.1475,129.567,159.866,-0.8341,-0.3781,0.4017,5,1
0.0182,0.0442,-29.2023,129.544,159.897,-0.4595,-0.867,-0.1929,5,1
0.0182,0.0777,-29.2327,129.508,159.907,-0.4683,-0.87,-0.1544,5,1
0.0306,0.191,-29.2608,129.427,159.884,-0.591,-0.7077,0.3871,5,1
0.0154,0.087,-29.3883,129.288,159.942,-0.5427,-0.5496,0.6351,5,1
0.0145,0.0814,-29.4363,129.239,159.995,-0.5782,-0.4526,0.6789,5,1
0.0136,0.0786,-29.4776,129.199,160.051,-0.3349,-0.448,0.8289,5,1
0.0235,0.0642,-29.5378,129.141,160.096,-0.4014,-0.2024,0.8933,5,1
0.0121,0.0685,-29.5351,129.131,160.168,-0.3745,-0.4118,0.8307,5,1
0.0125,0.062,-29.5604,129.101,160.224,-0.3763,-0.3974,0.8369,5,1
0.0102,0.077,-29.5876,129.078,160.275,-0.3654,-0.3699,0.8542,5,1
0.0118,0.0573,-29.613,129.048,160.341,-0.3602,-0.3063,0.8811,5,1
0.0061,0.0985,-29.6491,129.031,160.388,-0.2231,-0.3875,0.8945,5,1
0.0061,0.2448,-29.6714,128.99,160.475,-0.2635,-0.2981,0.9175,5,1
0.0042,0.0257,-29.7335,128.918,160.701,-0.2765,-0.257,0.926,5,1
0.0042,0.0508,-29.7371,128.91,160.725,-0.2953,-0.229,0.9275,5,1
0.0056,0.0434,-29.7478,128.898,160.773,-0.1951,-0.2559,0.9468,5,1
0.0044,0.0479,-29.7608,128.885,160.813,-0.1462,-0.2204,0.9644,5,1
0.0045,0.0498,-29.7674,128.875,160.86,-0.1683,-0.2325,0.9579,5,1
0.0039,0.066,-29.7809,128.863,160.906,-0.1688,-0.1654,0.9717,5,1
0.0057,0.036,-29.7904,128.857,160.973,-0.4814,-0.2026,0.8528,5,1
0.0043,0.1499,-29.8019,128.845,161.007,-0.6248,-0.1964,0.7557,5,1
0.0152,0.1287,-26.9422,129.76,159.404,0.704,0.709,0.0416,6,1
0.0211,0.063,-26.8604,129.861,159.418,0.8131,0.379,0.4418,6,1
0.0249,0.1456,-26.7622,129.916,159.431,0.3115,-0.0101,0.9502,6,1
0.0215,0.0364,-26.7175,129.888,159.56,0.9964,0.0035,-0.0844,6,1
0.0198,0.2072,-26.5711,129.823,159.558,0.381,0.6584,0.6491,6,1
0.0141,0.294,-26.5166,129.947,159.704,-0.3192,0.9029,0.2879,6,1
0.0156,0.1066,-26.8586,129.719,159.543,0.721,0.6711,-0.1727,7,1
0.0156,0.03,-26.7818,129.791,159.524,-0.6726,0.643,0.3662,7,1
0.0126,0.0922,-26.795,129.818,159.54,-0.7734,0.3466,0.5308,7,1
0.0114,0.0789,-26.8583,129.871,159.595,-0.7686,0.1013,0.6317,7,1
0.0097,0.1105,-26.9269,129.88,159.64,-0.5235,0.0435,0.8509,7,1
0.0105,0.1191,-26.9974,129.893,159.727,-0.507,0.0221,0.8617,7,1
0.0124,0.0685,-27.0589,129.898,159.829,-0.4495,-0.061,0.8912,7,1
0.0102,0.1339,-27.0906,129.891,159.889,-0.3681,-0.0529,0.9283,7,1
0.018,0.1012,-27.1488,129.881,160.011,-0.1873,-0.2659,0.9456,7,1
0.0148,0.0655,-27.3168,129.859,160.075,-0.2065,-0.2779,0.9381,7,1
0.0134,0.1483,-27.1955,129.874,160.169,-0.2174,-0.0753,0.9732,7,1
0.0108,0.0771,-27.2249,129.864,160.315,-0.2005,-0.0937,0.9752,7,1
0.0081,0.1428,-27.2265,129.855,160.393,-0.2039,-0.0676,0.9766,7,1
0.0078,0.0526,-27.2527,129.845,160.532,-0.0564,-0.0783,0.9953,7,1
0.0077,0.0828,-27.2661,129.842,160.584,-0.1002,-0.092,0.9907,7,1
0.007,0.0581,-27.2726,129.832,160.666,-0.1114,-0.0294,0.9933,7,1
0.0071,0.0732,-27.2783,129.827,160.723,-0.056,-0.1049,0.9929,7,1
0.0053,0.0799,-27.2767,129.824,160.797,-0.0767,-0.0884,0.9931,7,1
0.0052,0.0847,-27.2824,129.819,160.876,-0.0912,-0.1347,0.9867,7,1
0.0063,0.066,-27.287,129.811,160.961,-0.1078,-0.1439,0.9837,7,1
0.0059,0.1006,-27.2958,129.801,161.026,0.0437,-0.0776,0.996,7,1
0.0084,0.0796,-27.2847,129.795,161.126,-0.0255,-0.0698,0.9972,7,1
0.0088,0.0537,-27.2849,129.788,161.206,-0.1083,-0.0707,0.9916,7,1
0.0105,0.0447,-27.3018,129.792,161.26,-0.0695,-0.1882,0.9797,7,1
0.0108,0.0932,-27.2991,129.788,161.305,-0.1293,-0.2453,0.9608,7,1
0.0052,0.0957,-27.3041,129.754,161.395,-0.0603,0.0124,0.9981,7,1
0.0165,0.0852,-26.6991,129.712,159.697,0.1332,0.9859,-0.1012,8,1
0.0165,0.0494,-26.6878,129.796,159.688,-0.0411,0.6952,0.7177,8,1
0.0145,0.0665,-26.6917,129.834,159.718,-0.1984,0.8257,0.5281,8,1
0.0214,0.0717,-26.6755,129.887,159.769,-0.1574,0.8951,0.4171,8,1
0.0126,0.0963,-26.7178,129.948,159.792,-0.2065,0.769,0.605,8,1
0.0119,0.1382,-26.7373,130.023,159.85,-0.1946,0.7681,0.6101,8,1
0.0119,0.0797,-26.7586,130.135,159.931,-0.2349,0.6223,0.7467,8,1
0.0177,0.2249,-26.7874,130.183,159.99,-0.1195,0.7324,0.6703,8,1
0.0156,0.1142,-26.8042,130.353,160.147,-0.6208,0.5737,0.5344,8,1
0.01,0.0739,-26.8726,130.427,160.205,-0.5078,0.4391,0.7412,8,1
0.0089,0.0872,-26.9055,130.464,160.26,-0.3954,0.3661,0.8424,8,1
0.0084,0.0848,-26.9506,130.495,160.329,-0.3812,0.3103,0.8709,8,1
0.008,0.0755,-26.9829,130.521,160.403,-0.3158,0.2634,0.9115,8,1
0.0055,0.054,-27.0048,130.541,160.472,-0.2604,0.3126,0.9135,8,1
0.0073,0.0759,-27.0227,130.559,160.52,-0.2311,0.2844,0.9305,8,1
0.0068,0.0604,-27.0389,130.58,160.591,-0.2882,0.2503,0.9243,8,1
0.0087,0.0822,-27.0636,130.593,160.646,-0.2337,0.2339,0.9438,8,1
0.0059,0.0612,-27.0771,130.614,160.724,-0.1069,0.2389,0.9651,8,1
0.0052,0.1274,-27.0907,130.627,160.783,-0.0625,0.1816,0.9814,8,1
0.0063,0.0986,-27.1066,130.65,160.907,-0.0867,0.1567,0.9838,8,1
0.0068,0.053,-27.1139,130.665,161.004,-0.1596,0.0882,0.9832,8,1
0.0049,0.0683,-27.1232,130.676,161.055,-0.1157,0.1526,0.9815,8,1
0.0054,0.1013,-27.1321,130.687,161.122,-0.0815,0.1742,0.9813,8,1
0.0081,0.2025,-27.5956,130.229,159.045,0.8642,-0.502,-0.0338,9,2
0.0043,0.0634,-27.4175,130.132,159.04,0.7901,-0.6108,-0.0522,9,2
0.0059,0.1572,-27.3665,130.093,159.036,0.5943,-0.5404,0.5956,9,2
0.0193,0.2216,-27.6518,130.238,159.049,-0.8642,0.4975,0.0749,10,2
0.0125,0.1127,-27.8543,130.364,159.061,-0.774,-0.3593,0.5213,10,2
0.0094,0.0879,-27.9448,130.326,159.117,-0.5538,-0.1015,0.8264,10,2
0.0117,0.1037,-27.996,130.32,159.189,-0.4556,-0.0779,0.8868,10,2
0.0099,0.073,-28.0432,130.309,159.281,-0.4084,-0.0656,0.9105,10,2
0.0124,0.0731,-28.0781,130.301,159.345,-0.3445,-0.0313,0.9382,10,2
0.0088,0.0962,-28.0989,130.3,159.415,-0.3085,0.0059,0.9512,10,2
0.0083,0.0677,-28.1196,130.303,159.511,-0.443,-0.0257,0.8961,10,2
0.0111,0.2717,-28.1499,130.307,159.572,-0.2171,-0.0252,0.9758,10,2
0.0081,0.0475,-28.2113,130.301,159.837,-0.1997,0.0189,0.9797,10,2
0.0088,0.1007,-28.2227,130.304,159.883,-0.1446,0.0624,0.9875,10,2
0.0093,0.1006,-28.2374,130.311,159.982,-0.0919,0.0789,0.9926,10,2
0.0092,0.056,-28.2467,130.318,160.082,-0.0852,0.0754,0.9935,10,2
0.01,0.0976,-28.2514,130.324,160.137,-0.0919,0.0689,0.9934,10,2
0.0095,0.0934,-28.2595,130.331,160.235,-0.1339,-0.0307,0.9905,10,2
0.0077,0.091,-28.2757,130.324,160.327,-0.0729,0.0703,0.9949,10,2
0.0076,0.0876,-28.2813,130.33,160.418,-0.019,0.0496,0.9986,10,2
0.0075,0.1113,-28.2934,130.334,160.506,0.0429,0.1033,0.9937,10,2
0.0135,0.0544,-28.2914,130.329,160.62,-0.0909,0.2014,0.9753,10,2
0.0074,0.114,-28.2875,130.356,160.672,-0.0546,0.0819,0.9951,10,2
0.0073,0.0513,-28.2874,130.366,160.786,-0.0687,0.1034,0.9923,10,2
0.0072,0.0608,-28.2864,130.373,160.836,0.0088,0.154,0.988,10,2
0.0228,0.0847,-28.2586,130.365,160.899,0.0837,0.2865,0.9544,10,2
0.0103,0.0778,-28.2805,130.385,160.976,-0.1435,0.0774,0.9866,10,2
0.0131,0.1477,-28.28,130.401,161.052,-0.0045,0.0689,0.9976,10,2
0.0213,0.1454,-27.4423,130.628,159.484,0.9585,-0.2839,0.0263,11,2
0.0214,0.0509,-27.3059,130.596,159.489,0.9501,0.2536,0.1817,11,2
0.0136,0.1041,-27.2492,130.574,159.507,0.9586,0.2586,0.1193,11,2
0.0134,0.069,-27.1496,130.601,159.52,0.9663,0.1698,0.1932,11,2
0.01,0.0681,-27.0773,130.621,159.52,0.9384,-0.2229,0.264,11,2
0.0098,0.0909,-27.0129,130.606,159.537,0.8832,-0.3009,0.3598,11,2
0.0104,0.0747,-26.9317,130.579,159.568,0.8383,-0.2814,0.4671,11,2
0.0102,0.0711,-26.869,130.557,159.603,0.8291,-0.2613,0.4943,11,2
0.0093,0.1467,-26.808,130.539,159.635,0.83,-0.213,0.5154,11,2
0.01,0.0815,-26.692,130.499,159.714,0.7702,-0.3197,0.5519,11,2
0.0087,0.1754,-26.6255,130.475,159.755,0.7279,-0.3401,0.5954,11,2
0.0082,0.1077,-26.5004,130.413,159.861,0.6375,-0.3752,0.6729,11,2
0.0102,0.0966,-26.4353,130.372,159.935,0.529,-0.3822,0.7577,11,2
0.0111,0.0429,-26.3856,130.332,160.008,0.5056,-0.2632,0.8216,11,2
0.0073,0.0577,-26.3593,130.32,160.039,0.6568,-0.1838,0.7314,11,2
0.0071,0.044,-26.3235,130.308,160.084,0.7985,0.1197,0.59,11,2
0.01,0.1167,-26.2891,130.319,160.11,0.7462,0.1177,0.6552,11,2
0.0068,0.0834,-26.191,130.34,160.175,0.6617,0.1456,0.7355,11,2
