radius (m),length (m),x,y,z,a,b,c,branch,branch_order
0.0437,0.23,-9.2424,141.07,160.208,-0.5051,0.0044,0.863,4,1
0.0499,0.0823,-9.3581,141.068,160.406,-0.9137,-0.1126,0.3905,4,1
0.0371,0.1297,-9.4183,141.067,160.454,-0.7611,0.4241,0.4907,4,1
0.0247,0.2213,-9.5561,141.087,160.518,-0.6214,0.6883,0.3743,4,1
0.0232,0.0919,-9.6912,141.245,160.594,-0.5934,0.675,0.4385,4,1
0.0216,0.1046,-9.7459,141.307,160.634,-0.5577,0.381,0.7374,4,1
0.02,0.0797,-9.8101,141.344,160.713,-0.1662,0.6286,0.7597,4,1
0.0228,0.2571,-9.8325,141.394,160.774,0.0127,0.4949,0.8689,4,1
0.0135,0.1012,-9.8264,141.518,160.998,-0.0676,0.3203,0.9449,4,1
0.0148,0.1273,-9.8305,141.549,161.094,-0.06,0.2904,0.955,4,1
0.0133,0.1781,-9.8398,141.587,161.216,-0.0439,0.2137,0.9759,4,1
0.0129,0.1546,-9.8511,141.626,161.389,-0.0549,0.1654,0.9847,4,1
0.0167,0.1048,-9.8691,141.63,161.548,-0.0037,0.2952,0.9554,4,1
0.0152,0.2144,-9.8682,141.669,161.648,-0.0945,0.0731,0.9928,4,1
0.0266,0.0855,-9.7705,141.736,161.879,-0.3421,0.4834,0.8058,4,1
0.0121,0.2586,-9.8841,141.702,161.956,-0.0156,0.1155,0.9932,4,1
0.0102,0.0923,-9.8965,141.732,162.212,-0.076,0.1256,0.9892,4,1
0.0091,0.1123,-9.891,141.746,162.304,-0.085,0.1795,0.9801,4,1
0.0127,0.0855,-9.9002,141.765,162.414,-0.0837,-0.0351,0.9959,4,1
0.0127,0.0468,-9.9058,141.758,162.501,-0.0281,0.4945,0.8687,4,1
0.0168,0.073,-9.9047,141.792,162.538,-0.0558,0.396,0.9166,4,1
0.016,0.0528,-9.9099,141.82,162.605,-0.2673,0.3949,0.879,4,1
0.0081,0.1684,-9.9327,141.84,162.649,-0.2914,0.2596,0.9207,4,1
0.0093,0.0859,-9.9819,141.882,162.804,-0.304,0.2258,0.9256,4,1
0.0069,0.0677,-10.0021,141.9,162.884,-0.094,0.166,0.9816,4,1
0.0032,0.1289,-10.0092,141.921,162.949,-0.1943,0.1387,0.9711,4,1
0.0417,0.3344,-8.634,141.164,159.453,0.1903,-0.7742,0.6037,5,1
0.0417,0.0705,-8.5703,140.905,159.655,0.1282,-0.7716,0.6231,5,1
0.0391,0.0863,-8.5614,140.852,159.7,0.1885,-0.8105,0.5546,5,1
0.0399,0.0973,-8.5463,140.782,159.749,0.2016,-0.8275,0.524,5,1
0.0431,0.0772,-8.5297,140.702,159.802,0.2555,-0.8437,0.4722,5,1
0.0426,0.1376,-8.5055,140.637,159.837,0.1515,-0.8404,0.5204,5,1
0.0434,0.1649,-8.4807,140.522,159.91,0.079,-0.8552,0.5122,5,1
0.0415,0.1129,-8.4651,140.38,159.992,-0.1434,-0.8782,0.4564,5,1
0.0392,0.0902,-8.4849,140.281,160.044,-0.1485,-0.8037,0.5762,5,1
0.0403,0.068,-8.5019,140.209,160.096,0.0244,-0.7759,0.6304,5,1
0.038,0.0785,-8.4985,140.152,160.135,-0.0771,-0.68,0.7291,5,1
0.038,0.0949,-8.5051,140.098,160.192,-0.0859,-0.6514,0.7539,5,1
0.0428,0.0893,-8.5126,140.037,160.264,-0.0768,-0.6248,0.777,5,1
0.045,0.0893,-8.5157,139.984,160.337,-0.0662,-0.7,0.711,5,1
0.0376,0.0756,-8.5247,139.922,160.4,-0.2062,-0.8844,0.4188,5,1
0.0301,0.1778,-8.5407,139.848,160.418,-0.227,-0.8422,0.4891,5,1
0.0295,0.102,-8.5805,139.699,160.507,-0.2217,-0.8012,0.5559,5,1
0.0461,0.2406,-8.5835,139.616,160.605,-0.0116,-0.9998,-0.0183,5,1
0.044,0.0718,-8.5963,139.376,160.62,-0.0155,-0.9993,0.0326,5,1
0.0421,0.0779,-8.5851,139.298,160.622,-0.339,-0.7517,0.5657,5,1
0.045,0.2781,-8.5358,139.176,160.676,-0.4693,-0.4393,0.766,5,1
0.0263,0.0675,-8.6354,139.03,160.855,0.1331,-0.7433,0.6555,5,1
0.0183,0.1039,-8.6396,138.993,160.907,0.025,-0.4569,0.8892,5,1
0.0172,0.1036,-8.6139,138.918,160.994,-0.0507,-0.2341,0.9709,5,1
0.0161,0.0899,-8.6328,138.914,161.101,0.0229,-0.3152,0.9488,5,1
0.0152,0.0503,-8.6288,138.886,161.187,0.0148,-0.3001,0.9538,5,1
0.0141,0.1376,-8.6194,138.848,161.229,0.0568,-0.2309,0.9713,5,1
0.026,0.2349,-8.6197,138.855,161.378,-0.0598,-0.3855,0.9208,5,1
0.0096,0.1084,-8.6109,138.768,161.593,0.0949,-0.2981,0.9498,5,1
0.0082,0.1403,-8.6039,138.74,161.697,0.0929,-0.2061,0.9741,5,1
0.0076,0.0781,-8.5804,138.707,161.833,0.0061,-0.2674,0.9636,5,1
0.0071,0.1302,-8.587,138.682,161.908,0.0864,-0.1588,0.9835,5,1
0.007,0.0732,-8.5775,138.656,162.036,0.0612,0.0163,0.998,5,1
0.0049,0.1204,-8.5672,138.657,162.109,0.0442,-0.0406,0.9982,5,1
0.0365,0.4097,-8.7621,141.486,159.691,0.1156,0.45,0.8855,6,1
0.0367,0.1121,-8.7139,141.671,160.053,0.1288,0.5063,0.8527,6,1
0.0364,0.1214,-8.6978,141.725,160.151,0.0928,0.5623,0.8217,6,1
0.0426,0.1106,-8.6851,141.791,160.252,0.1051,0.6022,0.7914,6,1
0.0459,0.1058,-8.6643,141.852,160.345,0.083,0.7575,0.6475,6,1
0.0379,0.1073,-8.6598,141.935,160.41,0.1695,0.8615,0.4786,6,1
0.0369,0.0667,-8.6426,142.03,160.457,0.2593,0.8202,0.5099,6,1
0.0386,0.1388,-8.6223,142.083,160.495,0.182,0.8935,0.4104,6,1
0.0436,0.0672,-8.5958,142.205,160.565,0.2065,0.9699,0.129,6,1
0.0353,0.0754,-8.5796,142.27,160.578,0.4335,0.8444,-0.3146,6,1
0.028,0.1044,-8.5471,142.335,160.557,0.4894,0.8349,-0.2518,6,1
0.0284,0.0909,-8.4958,142.422,160.53,0.4268,0.903,0.0501,6,1
0.0227,0.0824,-8.4543,142.502,160.538,0.1651,0.8718,0.4612,6,1
0.0222,0.0879,-8.4399,142.572,160.579,0.1205,0.9544,0.273,6,1
0.0241,0.0783,-8.4301,142.657,160.602,0.1744,0.9117,0.372,6,1
0.0176,0.1479,-8.413,142.739,160.624,0.3561,0.4149,0.8373,6,1
0.0138,0.0771,-8.3609,142.801,160.748,0.3199,0.4208,0.8489,6,1
0.0134,0.0838,-8.336,142.835,160.812,0.2652,0.3386,0.9028,6,1
0.0136,0.0859,-8.3133,142.863,160.888,0.2377,0.3116,0.92,6,1
0.0149,0.1308,-8.2911,142.889,160.967,0.1753,0.2885,0.9413,6,1
0.0206,0.1089,-8.2746,142.961,161.096,0.2524,-0.1145,0.9608,6,1
0.0292,0.1577,-8.1872,142.949,161.208,-0.108,-0.28,0.9539,6,1
0.0154,0.0575,-8.1837,142.97,161.347,0.0823,0.134,0.9876,6,1
0.0221,0.1179,-8.1696,142.994,161.402,-0.473,0.3604,0.804,6,1
0.0221,0.0312,-8.211,143.03,161.491,0.5283,0.4926,0.6916,6,1
0.0265,0.16,-8.1452,143.088,161.484,-0.0697,0.6089,0.7902,6,1
0.0158,0.1091,-8.2129,142.993,161.771,0.6575,0.3602,0.6617,6,1
0.0093,0.078,-8.1262,143.339,161.666,0.2583,0.4744,0.8416,6,1
0.0093,0.085,-8.0954,143.364,161.735,0.2398,0.4623,0.8537,6,1
0.0053,0.0701,-8.0824,143.411,161.807,0.3063,0.3922,0.8674,6,1
0.0119,0.0682,-8.0537,143.433,161.868,0.2945,0.4324,0.8522,6,1
0.012,0.0924,-8.034,143.46,161.927,0.2706,0.3642,0.8911,6,1
0.0037,0.0661,-8.0183,143.509,162.007,0.2843,0.305,0.9089,6,1
0.004,0.0649,-8.0015,143.53,162.068,0.2587,0.2619,0.9298,6,1
0.0044,0.1027,-7.981,143.544,162.128,0.2042,0.2969,0.9328,6,1
0.006,0.0683,-7.9531,143.567,162.224,0.2358,0.2565,0.9373,6,1
0.0032,0.164,-7.9434,143.593,162.288,0.1849,0.1803,0.9661,6,1
0.0048,0.0841,-8.9599,141.419,160.023,-0.3265,-0.5339,0.78,7,1
0.0048,0.0499,-8.9874,141.374,160.089,-0.0721,-0.0523,0.996,7,1
0.0048,0.1466,-8.993,141.374,160.139,-0.0387,-0.1024,0.994,7,1
0.0126,0.1641,-9.0058,141.348,160.283,-0.0498,-0.1162,0.992,7,1
0.007,0.2566,-9.0167,141.337,160.447,0.0252,-0.0917,0.9955,7,1
0.0066,0.081,-9.0119,141.313,160.702,0.0381,-0.1457,0.9886,7,1
0.006,0.064,-9.0084,141.301,160.782,0.0649,-0.1561,0.9856,7,1
0.0049,0.0756,-9.0042,141.289,160.845,0.0748,-0.0949,0.9927,7,1
0.0046,0.0468,-9.002,141.282,160.92,0.1692,-0.2038,0.9643,7,1
0.0062,0.2621,-8.9878,141.267,160.964,0.0928,-0.1835,0.9786,7,1
0.0064,0.0535,-8.9657,141.218,161.221,0.1746,-0.1104,0.9784,7,1
0.0122,0.0966,-8.9503,141.228,161.282,0.1919,-0.563,0.8039,7,1
0.0102,0.0213,-8.9972,141.532,160.514,0.4939,-0.0318,0.8689,8,1
0.0101,0.1119,-8.9845,141.533,160.531,0.4301,-0.0505,0.9014,8,1
0.0099,0.0955,-8.9358,141.528,160.632,0.3923,-0.0921,0.9152,8,1
0.0096,0.0628,-8.8981,141.518,160.719,0.3777,-0.0931,0.9213,8,1
0.0192,0.0906,-8.8733,141.501,160.776,0.3783,-0.0897,0.9213,8,1
0.0158,0.2446,-8.7913,141.491,160.845,0.2235,-0.5152,0.8274,8,1
0.0062,0.0711,-8.7084,141.37,161.039,0.3203,-0.2369,0.9172,8,1
0.0061,0.2168,-8.6893,141.36,161.107,0.3234,-0.301,0.8971,8,1
0.0122,0.2,-8.9291,141.569,161.53,-0.004,0.5249,0.8511,9,1
0.0163,0.1703,-8.8928,141.544,161.605,0.8469,0.1112,-0.52,10,1
0.0163,0.2761,-8.8106,141.51,161.479,0.5589,-0.0724,-0.8261,10,1
0.0163,0.1488,-8.7112,141.487,161.288,-0.3322,0.847,-0.4149,10,1
0.0016,0.0888,-8.7604,141.613,161.227,0.09,0.4657,0.8803,10,1
0.0399,0.1613,-8.4173,141.532,159.585,0.1551,-0.1792,0.9715,11,2
0.0399,0.2065,-8.3848,141.514,159.741,0.0337,0.0601,0.9976,11,2
0.0399,0.2125,-8.3701,141.528,159.946,0.1095,-0.0564,0.9924,11,2
0.0151,0.2653,-8.3369,141.544,160.152,0.0213,0.1429,0.9895,11,2
0.0025,0.4824,-8.1645,141.647,159.986,0.5863,0.621,-0.5201,12,2
0.0057,0.0723,-8.1141,141.76,160.265,-0.1235,0.6244,0.7713,13,2
0.0057,0.0848,-8.123,141.805,160.321,-0.1432,0.3032,0.9421,13,2
0.0056,0.1329,-8.1352,141.832,160.401,-0.1737,0.262,0.9493,13,2
0.0056,0.1126,-8.16,141.868,160.526,-0.1626,0.228,0.96,13,2
0.008,0.0844,-8.1722,141.891,160.636,-0.2064,0.2246,0.9524,13,2
