radius (m),length (m),x,y,z,a,b,c,branch,branch_order
0.0105,0.0655,-9.8787,141.067,161.907,0.0126,-0.063,-0.9979,298,3
0.0106,0.0655,-9.8776,141.063,161.841,-0.0275,-0.0659,-0.9974,298,3
0.011,0.0691,-9.8786,141.06,161.776,-0.0495,-0.113,-0.9924,298,3
0.0113,0.1009,-9.8797,141.053,161.707,-0.0483,-0.088,-0.9949,298,3
0.0104,0.1476,-9.8844,141.043,161.607,-0.1021,-0.1161,-0.988,298,3
0.0113,0.1718,-9.8947,141.029,161.46,-0.0647,-0.1178,-0.9909,298,3
0.0113,0.0694,-9.9058,141.006,161.29,-0.0556,-0.0609,-0.9966,298,3
0.0111,0.2022,-9.9109,141.002,161.221,-0.0202,-0.1154,-0.9931,298,3
0.0109,0.1376,-10.2262,141.328,161.904,-0.1827,0.1299,0.9746,299,3
0.0119,0.2388,-10.2692,141.338,162.036,-0.1615,0.1103,0.9807,299,3
0.0081,0.0493,-10.293,141.369,162.275,-0.31,-0.0481,0.9495,299,3
0.0105,0.1073,-10.3014,141.374,162.323,-0.1715,0.0976,0.9803,299,3
0.0135,0.2902,-10.3402,141.374,162.427,-0.1028,0.0779,0.9916,299,3
0.0134,0.0357,-10.3805,141.413,162.708,-0.1631,0.2514,0.954,299,3
0.0133,0.1011,-10.3598,141.423,162.752,-0.3558,-0.0325,0.934,299,3
0.012,0.1096,-10.3938,141.467,162.843,-0.3654,0.087,0.9268,299,3
0.0102,0.2997,-9.8754,141.115,162.35,-0.9916,-0.117,-0.0554,300,3
0.0056,0.1062,-10.1734,141.073,162.333,0.3964,-0.0366,-0.9173,300,3
0.0055,0.039,-10.1342,141.068,162.234,0.5344,-0.0025,-0.8452,300,3
0.0083,0.0289,-10.0932,141.073,162.188,-0.3916,-0.5128,-0.764,300,3
0.0073,0.1631,-10.0949,140.909,162.169,0.4123,0.0081,-0.911,300,3
0.0048,0.0583,-10.0398,140.923,162.019,0.3188,0.2404,-0.9168,300,3
0.0063,0.0822,-10.0162,140.939,161.968,0.3452,0.2973,-0.8902,300,3
0.0074,0.0333,-9.9969,140.956,161.89,0.1343,0.4485,-0.8836,300,3
0.0035,0.1796,-9.9861,140.969,161.862,0.3183,0.2618,-0.9111,300,3
0.0053,0.1309,-10.097,141.248,162.242,0.9146,-0.1953,0.3539,301,3
0.0032,0.2298,-9.9105,141.08,162.097,-0.3359,-0.2622,0.9047,302,3
0.0054,0.1637,-9.9741,141.027,162.31,-0.2877,-0.1458,0.9466,302,3
0.0039,0.1729,-9.8968,141.148,162.621,-0.4904,0.3261,0.8082,303,3
0.0031,0.1407,-9.9865,141.203,162.759,-0.3738,0.2107,0.9033,303,3
0.0049,0.3425,-9.8834,141.083,162.176,0.533,0.2057,0.8207,304,3
0.0031,0.2507,-9.8856,141.083,162.227,-0.1858,-0.5304,0.8271,305,3
0.0064,0.277,-9.8659,141.096,162.298,0.4644,-0.204,0.8618,306,3
0.0038,0.2356,-9.8668,141.111,162.398,-0.1137,-0.5289,0.841,307,3
0.003,0.3958,-9.8607,141.141,162.462,0.1893,0.4276,0.8839,308,3
0.0058,0.1283,-9.8882,141.143,162.758,-0.5224,-0.0985,0.847,309,3
0.0037,0.1397,-9.9548,141.132,162.867,-0.3536,-0.3609,0.863,309,3
0.0064,0.1139,-9.8758,141.16,162.644,-0.1801,0.5867,0.7895,310,3
0.0064,0.1411,-9.8963,141.227,162.734,-0.2815,0.5532,0.784,310,3
0.0045,0.2521,-9.8987,141.175,162.773,-0.0132,0.2138,0.9768,311,3
0.0045,0.1081,-9.9036,141.234,163.018,-0.0751,0.1124,0.9908,311,3
0.0036,0.2968,-10.1762,141.677,161.395,0.6528,-0.2954,-0.6976,312,3
0.0025,0.124,-9.8159,141.61,161.391,0.9103,0.1569,0.3829,313,3
0.0025,0.2627,-9.703,141.629,161.438,0.9597,0.1429,0.242,313,3
0.0025,0.1961,-9.853,141.648,161.405,0.0571,0.9685,0.2424,314,3
0.0025,0.044,-9.8418,141.838,161.453,0.0173,0.6415,0.767,314,3
0.0025,0.2321,-9.8474,141.861,161.493,0.1341,0.6965,0.705,314,3
0.0025,0.048,-10.1182,141.684,161.841,-0.5571,-0.6743,0.4848,315,3
0.0025,0.1166,-10.1418,141.641,161.858,-0.6277,-0.5017,0.5952,315,3
0.0025,0.1642,-10.2073,141.562,161.933,-0.7881,-0.1501,0.5969,315,3
0.0023,0.0765,-10.1841,141.69,161.948,-0.6792,-0.3316,0.6548,316,3
0.0023,0.1832,-10.2529,141.656,161.986,-0.402,-0.3705,0.8373,316,3
0.0042,0.195,-10.1904,141.7,161.94,-0.6752,0.3837,0.6299,317,3
0.0025,0.2551,-10.3306,141.781,162.053,-0.5958,0.346,0.7248,317,3
0.0199,0.0499,-9.8783,141.481,161.848,-0.9907,-0.0489,0.127,318,3
0.0199,0.0387,-9.9278,141.478,161.854,0.0567,-0.3557,-0.9329,318,3
0.0199,0.1633,-9.892,141.463,161.819,0.036,-0.0533,-0.9979,318,3
0.0199,0.0444,-9.9116,141.454,161.642,0.4794,-0.3028,-0.8237,318,3
0.0199,0.1557,-9.8941,141.421,161.556,0.5666,-0.7768,0.2749,318,3
0.0025,0.1467,-9.9283,141.73,162.145,-0.6373,-0.0646,0.7679,319,3
0.0025,0.1703,-10.0219,141.72,162.258,-0.7373,-0.0386,0.6745,319,3
0.0025,0.1352,-9.8677,141.73,162.181,0.8625,0.4466,-0.2381,320,3
0.0025,0.1911,-9.7511,141.79,162.148,0.6068,0.3748,0.7009,320,3
0.0107,0.211,-9.913,141.828,162.452,-0.4388,0.6283,0.6424,321,3
0.0074,0.0857,-9.8974,141.807,162.647,0.0026,0.3453,0.9385,322,3
0.007,0.0376,-9.8988,141.838,162.727,0.1619,0.3447,0.9246,322,3
0.0072,0.0751,-9.8897,141.85,162.762,0.0881,0.336,0.9377,322,3
0.006,0.1873,-9.8851,141.882,162.831,0.043,0.2163,0.9754,322,3
0.0094,0.0986,-9.883,141.919,163.015,0.0536,0.1819,0.9819,322,3
0.0025,0.3285,-9.8282,141.749,163.034,-0.0397,-0.0641,-0.9972,323,3
0.0025,0.098,-9.8524,141.691,162.701,-0.2091,0.2083,-0.9555,323,3
0.0092,0.0572,-8.3586,141.155,159.782,-0.5625,0.7117,0.4207,324,3
0.0092,0.0754,-8.3884,141.174,159.796,-0.8303,-0.2996,0.4699,324,3
0.0097,0.2727,-8.4305,141.187,159.839,-0.3441,0.0033,0.9389,324,3
0.0086,0.222,-8.3418,141.126,159.83,-0.0924,0.1305,0.9871,325,3
0.0086,0.1301,-8.3888,141.139,160.052,0.1297,-0.0503,0.9903,325,3
0.0026,0.2478,-8.34,141.163,160.15,-0.0832,0.7512,0.6548,325,3
0.0069,0.1113,-8.0806,141.049,160.28,-0.4596,-0.2896,0.8396,326,3
0.0069,0.0926,-8.0833,141.012,160.388,-0.272,0.1379,0.9524,326,3
0.0113,0.0879,-8.1184,141.04,160.478,0.2717,0.0409,0.9615,326,3
0.0083,0.0726,-7.9333,140.919,160.372,-0.4972,-0.8356,-0.2337,327,3
0.0402,0.1364,-7.9755,140.83,160.403,-0.6752,-0.5953,-0.4356,327,3
0.0402,0.1205,-8.0755,140.749,160.352,-0.5078,-0.7274,-0.4615,327,3
0.0057,0.1983,-8.1389,140.668,160.265,-0.9617,-0.2741,0.0101,327,3
0.011,0.095,-7.8336,140.865,160.442,-0.9763,0.122,0.1789,328,3
0.0077,0.2753,-7.9613,140.897,160.445,-0.4632,-0.1875,0.8662,328,3
0.0099,0.2023,-8.0747,140.839,160.648,-0.5032,-0.8624,-0.0549,328,3
0.0243,0.0512,-7.8337,140.937,160.37,0.7764,0.6038,-0.1807,329,3
0.0243,0.0664,-7.797,140.98,160.358,0.2757,0.2891,0.9167,329,3
0.0246,0.2618,-7.7646,140.993,160.42,0.1022,0.3512,0.9307,329,3
0.0134,0.1151,-7.7303,141.094,160.659,0.1162,0.3212,0.9399,329,3
0.0123,0.3629,-7.7083,141.131,160.767,0.0444,0.3316,0.9424,329,3
0.011,0.0491,-7.6889,141.252,161.109,0.0192,0.2975,0.9545,329,3
0.0105,0.0749,-7.6871,141.267,161.155,-0.0089,0.258,0.9661,329,3
0.0096,0.1441,-7.6881,141.286,161.228,-0.0302,0.2841,0.9583,329,3
0.009,0.0749,-7.6849,141.332,161.366,-0.1339,0.1838,0.9738,329,3
0.0148,0.2753,-7.7062,141.351,161.438,-0.1,0.0193,0.9948,329,3
0.0049,0.0743,-7.726,141.366,161.714,-0.2162,-0.0139,0.9762,329,3
0.0052,0.156,-7.7434,141.365,161.786,-0.1721,-0.0087,0.985,329,3
0.0029,0.602,-7.8107,140.834,160.398,-0.2986,-0.7416,-0.6007,330,3
0.0167,0.152,-7.7473,140.868,160.448,0.8052,0.5923,-0.0267,331,3
0.0191,0.1451,-7.6146,140.946,160.477,0.6717,0.7389,0.053,331,3
0.0191,0.2059,-7.4943,141.054,160.484,0.055,0.3446,0.9371,331,3
0.0132,0.0868,-7.4801,141.132,160.674,-0.0574,0.3386,0.9392,331,3
0.0084,0.0703,-7.4753,141.163,160.756,-0.0241,0.2565,0.9662,331,3
0.0068,0.09,-7.478,141.179,160.824,-0.0263,0.2762,0.9607,331,3
0.0031,0.2334,-7.4783,141.207,160.91,-0.0209,0.294,0.9556,331,3
0.0205,0.2259,-7.7323,140.809,160.534,0.1954,-0.3506,0.9159,332,3
0.0124,0.0571,-7.7055,140.698,160.736,0.1828,-0.2353,0.9546,332,3
0.0172,0.3233,-7.6662,140.7,160.791,0.0869,-0.1863,0.9786,332,3
0.0084,0.1257,-7.6522,140.632,161.105,-0.0414,-0.1864,0.9816,332,3
0.0117,0.1298,-7.6636,140.604,161.228,-0.0345,-0.1337,0.9904,332,3
0.0109,0.0578,-7.6211,140.76,160.553,0.5527,0.5244,0.6477,333,3
0.0109,0.0426,-7.5891,140.79,160.591,0.2613,0.2482,0.9328,333,3
0.0257,0.1462,-7.5887,140.827,160.633,0.1961,0.0071,0.9806,333,3
0.0269,0.0837,-7.5596,140.819,160.777,0.3269,0.1625,0.931,333,3
0.0237,0.4375,-7.499,140.843,160.852,0.0041,0.303,0.953,333,3
0.0118,0.0374,-7.4778,140.976,161.266,0.1041,0.237,0.9659,333,3
0.0106,0.0698,-7.4734,140.986,161.302,0.1051,0.2233,0.9691,333,3
0.0111,0.0661,-7.4615,140.999,161.372,-0.2178,0.4187,0.8816,333,3
0.0112,0.0708,-7.4588,141.02,161.448,-0.5931,0.3615,0.7194,333,3
0.0073,0.0977,-7.5091,141.057,161.487,-0.4611,0.4435,0.7686,333,3
0.0055,0.0891,-7.5585,141.098,161.561,-0.4188,0.4052,0.8127,333,3
0.0033,0.1303,-7.5965,141.134,161.633,-0.308,0.3698,0.8766,333,3
0.0155,0.1308,-7.6059,140.754,160.513,0.8448,0.132,-0.5185,334,3
0.0163,0.0836,-7.4821,140.786,160.456,0.608,0.0147,-0.7938,334,3
0.0132,0.2614,-7.4136,140.757,160.395,0.5029,0.1376,-0.8533,334,3
0.0066,0.3057,-7.463,140.588,160.516,0.231,-0.5,-0.8347,335,3
0.0085,0.1427,-7.3841,140.493,160.567,-0.5514,-0.7493,0.3667,336,3
0.0109,0.0655,-7.4636,140.387,160.62,-0.3706,-0.9278,0.044,336,3
0.0153,0.1202,-7.5091,140.332,160.635,-0.273,-0.9616,-0.0285,336,3
0.018,0.1093,-7.5679,140.202,160.611,0.0964,-0.8612,0.4991,336,3
0.01,0.0868,-7.5819,140.101,160.654,-0.1273,-0.7312,0.6701,336,3
0.0098,0.0986,-7.5998,140.035,160.709,-0.1229,-0.5895,0.7984,336,3
0.016,0.0605,-7.6111,139.984,160.794,0.0361,-0.6876,0.7252,336,3
0.0164,0.1002,-7.5543,139.934,160.842,-0.1321,-0.4093,0.9028,336,3
0.0153,0.1217,-7.6278,139.907,160.932,-0.1236,-0.4919,0.8618,336,3
0.0086,0.0528,-7.6519,139.86,161.04,-0.1395,-0.3244,0.9356,336,3
0.0085,0.1408,-7.6619,139.842,161.089,-0.0643,-0.3276,0.9426,336,3
0.0109,0.2723,-7.5037,140.667,160.523,0.9525,0.1875,-0.2401,337,3
0.0175,0.3659,-7.2443,140.706,160.439,0.9952,0.0827,-0.0533,337,3
0.0096,0.0011,-6.8805,140.735,160.407,0.9997,0.0101,-0.0238,337,3
0.0144,0.0878,-6.878,140.751,160.406,0.8705,-0.0413,0.4905,337,3
0.0138,0.1387,-6.8024,140.748,160.45,0.6593,-0.1315,0.7403,337,3
0.0103,0.084,-6.7002,140.72,160.544,0.5861,-0.0551,0.8083,337,3
0.0147,0.1085,-6.6515,140.708,160.612,0.5447,0.0042,0.8386,337,3
0.0067,0.139,-6.5807,140.712,160.697,0.4986,-0.0433,0.8658,337,3
0.0059,0.0794,-6.5122,140.707,160.817,0.4132,0.0055,0.9106,337,3
0.0054,0.0644,-6.4784,140.707,160.889,0.3805,0.0281,0.9244,337,3
0.0049,0.056,-6.4538,140.709,160.949,0.3633,0.0394,0.9309,337,3
0.0044,0.064,-6.4323,140.712,161,0.324,0.0415,0.9451,337,3
0.0064,0.1581,-6.4145,140.712,161.062,0.2494,0.0957,0.9637,337,3
0.0243,0.3322,-7.4538,140.515,160.542,0.1531,-0.3865,0.9095,338,3
0.0268,0.0736,-7.4081,140.391,160.848,0.1369,-0.4854,0.8635,338,3
0.0218,0.0664,-7.3757,140.322,160.9,-0.0461,-0.3401,0.9393,338,3
0.0176,0.0541,-7.4018,140.287,160.958,0.1112,-0.5258,0.8433,338,3
0.0174,0.0871,-7.3958,140.258,161.003,0.1614,-0.5135,0.8427,338,3
0.0171,0.0782,-7.3859,140.224,161.083,0.1457,-0.4893,0.8599,338,3
0.0232,0.1801,-7.3956,140.191,161.158,0.2453,-0.3809,0.8915,338,3
0.0265,0.1087,-7.3818,140.088,161.316,0.1539,-0.2155,0.9643,338,3
0.0208,0.0723,-7.3553,140.049,161.415,0.0667,-0.3279,0.9423,338,3
0.0237,0.1232,-7.3597,140.002,161.5,0.9135,-0.4024,-0.0604,338,3
0.0182,0.0933,-7.2653,139.92,161.488,0.7212,-0.4776,0.5018,338,3
0.0126,0.0898,-7.1881,139.867,161.531,0.1527,-0.2483,0.9566,338,3
0.0229,0.0687,-7.1957,139.83,161.621,0.2772,-0.1246,0.9527,338,3
0.0214,0.1093,-7.1818,139.792,161.695,-0.0428,0.2971,0.9539,338,3
0.0175,0.0895,-7.181,139.806,161.803,0.0325,0.1526,0.9878,338,3
0.009,0.0858,-7.1262,139.831,161.88,0.2123,-0.0739,0.9744,338,3
0.0118,0.1109,-7.3723,140.505,160.611,0.0559,-0.0365,0.9978,339,3
0.0104,0.1663,-7.3693,140.503,160.722,0.1494,-0.1502,0.9773,339,3
0.011,0.0583,-7.344,140.474,160.884,0.1227,-0.0925,0.9881,339,3
0.0119,0.2391,-7.3377,140.468,160.942,0.1507,-0.1341,0.9794,339,3
0.01,0.1547,-7.3144,140.455,161.185,0.2452,-0.2988,0.9223,339,3
0.0096,0.1829,-7.7742,140.378,161.318,0.003,0.2704,-0.9627,339,3
0.0069,0.0412,-7.477,140.055,161.019,-0.0099,0.3071,-0.9516,339,3
0.0041,0.1249,-7.4816,140.06,160.976,-0.0621,0.4455,-0.8931,339,3
0.0052,0.1954,-7.488,140.115,160.864,-0.1153,0.4479,-0.8866,339,3
0.0237,0.2355,-7.279,140.532,160.634,0.6295,0.4995,0.5952,340,3
0.0237,0.0795,-7.1307,140.65,160.774,0.4837,0.1693,0.8587,340,3
0.0127,0.0547,-7.0827,140.654,160.833,0.7416,0.0537,0.6687,340,3
0.0158,0.1372,-7.0573,140.664,160.906,0.9009,0.2865,0.3261,340,3
0.0025,0.4275,-7.3885,140.579,160.545,0.6881,0.6228,-0.3724,341,3
0.0025,0.3345,-7.1012,140.819,160.399,-0.1689,0.4754,0.8634,341,3
0.0025,0.4291,-7.105,140.95,160.702,0.0125,0.4796,0.8774,341,3
0.0142,0.1056,-7.2379,140.57,160.709,-0.0214,-0.9969,0.0754,342,3
0.0142,0.2051,-7.2401,140.465,160.717,-0.4663,0.8827,0.0581,342,3
0.0163,0.1475,-7.232,140.569,160.763,0.2096,-0.6487,0.7316,343,3
0.0194,0.6135,-7.1669,140.472,160.864,0.1678,-0.2645,0.9497,343,3
0.0226,0.0714,-7.123,140.33,161.465,0.2434,-0.1447,0.9591,343,3
0.0233,0.1183,-7.1701,140.436,161.486,-0.882,-0.4681,0.0543,343,3
0.0219,0.1309,-7.1807,140.3,161.591,-0.4502,0.4308,0.7821,343,3
0.0254,0.0717,-7.2407,140.341,161.691,0.0346,-0.0976,0.9946,343,3
0.025,0.1174,-7.2515,140.334,161.766,0.2347,-0.127,0.9637,343,3
0.023,0.1028,-7.2156,140.328,161.88,0.075,-0.118,0.9902,343,3
0.0144,0.0977,-7.2233,140.348,161.986,0.0792,-0.1067,0.9911,343,3
0.0141,0.0926,-7.2114,140.339,162.083,0.0936,-0.0865,0.9918,343,3
0.0137,0.1957,-7.2046,140.327,162.174,0.0881,-0.0318,0.9956,343,3
0.0228,0.0868,-7.1634,140.29,162.365,-0.0742,-0.1957,0.9779,343,3
0.0209,0.425,-7.1984,140.316,162.456,0.0682,-0.1068,0.9919,343,3
0.0211,0.2538,-7.136,140.287,162.868,0.2648,0.0369,0.9636,343,3
0.018,0.1618,-7.0689,140.229,163.093,0.3085,-0.2724,0.9114,343,3
0.0067,0.2437,-7.2721,140.486,160.624,0.5655,-0.5223,0.6383,344,3
0.007,0.1004,-7.1389,140.355,160.782,0.6135,-0.4439,0.6531,344,3
0.01,0.1937,-7.0623,140.311,160.835,0.5893,-0.4004,0.7017,344,3
0.0082,0.0783,-6.9615,140.229,160.979,0.5739,-0.2302,0.7859,344,3
0.0071,0.0773,-6.914,140.213,161.04,0.3909,-0.2788,0.8772,344,3
0.0062,0.0765,-6.883,140.189,161.107,0.3937,-0.2114,0.8946,344,3
0.0044,0.2155,-6.8494,140.174,161.175,0.2927,-0.1745,0.9401,344,3
0.0083,0.0254,-7.0892,140.811,162.889,-0.6937,-0.6749,-0.2515,345,3
0.0083,0.0382,-7.1068,140.794,162.883,0.1672,-0.2677,0.9489,345,3
0.0105,0.0965,-7.0901,140.788,162.921,-0.09,-0.2755,0.9571,345,3
0.0137,0.1126,-7.1176,140.779,163.019,-0.459,-0.6872,0.5631,345,3
0.0137,0.0359,-7.21,140.717,163.083,-0.0841,-0.2455,0.9657,345,3
0.0089,0.1104,-7.2108,140.697,163.115,-0.188,-0.1985,0.9619,345,3
0.0112,0.077,-7.1559,140.639,160.914,0.8188,0.4009,0.4109,346,3
0.033,0.3658,-7.0765,140.726,160.937,0.4977,-0.0145,0.8672,346,3
0.0064,0.0846,-6.9072,140.753,161.256,0.2758,0.0533,0.9597,346,3
0.0041,0.1518,-6.8821,140.75,161.337,0.2614,0.0937,0.9607,346,3
0.0059,0.0658,-7.1176,140.683,161.196,0.5385,-0.2803,0.7946,347,3
0.0061,0.3075,-7.0858,140.662,161.25,0.5536,-0.2615,0.7906,347,3
0.0047,0.1455,-7.1273,140.721,161.276,0.5768,0.3232,0.7502,348,3
0.0076,0.2006,-7.0469,140.8,161.374,0.2043,0.3182,0.9257,348,3
0.0068,0.0787,-7.1022,140.906,161.546,0.2451,0.762,0.5994,348,3
0.0041,0.0885,-7.0925,140.967,161.594,0.1606,0.7121,0.6835,348,3
0.0053,0.0464,-7.0831,141.028,161.658,0.2054,0.7508,0.6277,348,3
0.0037,0.0827,-7.0713,141.064,161.686,0.2047,0.7374,0.6437,348,3
0.0045,0.0777,-7.0554,141.125,161.739,0.227,0.6988,0.6783,348,3
0.0038,0.1275,-7.0375,141.18,161.791,0.2595,0.6264,0.7351,348,3
0.0055,0.1437,-7.1303,140.706,161.343,0.2259,-0.4644,0.8563,349,3
0.0053,0.1993,-7.097,140.639,161.466,0.2045,-0.4281,0.8803,349,3
0.0025,0.1153,-7.1616,140.745,161.4,-0.8071,0.5747,-0.1351,350,3
0.0025,0.1457,-7.2297,140.768,161.415,-0.8404,-0.5348,-0.0875,350,3
0.0034,0.3833,-7.2658,140.72,161.355,-0.5303,0.2577,-0.8077,350,3
0.0076,0.4522,-7.1304,140.757,161.406,0.4913,0.1123,0.8637,351,3
0.0107,0.2009,-7.1443,140.724,161.48,0.0909,-0.6113,0.7862,352,3
0.003,0.0842,-7.1204,140.608,161.642,0.0786,-0.5693,0.8184,352,3
0.0056,0.08,-7.1176,140.559,161.711,0.1172,-0.5225,0.8445,352,3
0.0055,0.1342,-7.1115,140.512,161.776,0.1709,-0.4664,0.8679,352,3
0.0106,0.1569,-7.1214,140.429,161.898,0.3841,-0.4341,0.8149,352,3
0.011,0.1613,-7.0774,140.356,162.033,0.4306,-0.061,0.9005,352,3
0.003,0.1004,-7.1671,140.738,161.55,-0.5605,-0.3159,0.7655,353,3
0.0028,0.1224,-7.2213,140.706,161.629,-0.5849,-0.3145,0.7477,353,3
0.0047,0.1889,-7.2947,140.674,161.722,-0.4823,-0.3672,0.7953,353,3
0.0055,0.4222,-7.2099,140.736,161.468,-0.5354,0.3605,0.7638,354,3
0.005,0.1082,-7.4665,140.866,161.793,0.0845,0.0195,0.9962,354,3
0.0026,0.1277,-7.4535,140.874,161.902,-0.0295,-0.0512,0.9983,354,3
0.0045,0.0718,-7.1506,140.737,161.642,0.3028,-0.5853,0.7522,355,3
0.0189,0.3293,-7.1179,140.675,161.682,0.3434,-0.4115,0.8442,355,3
0.0041,0.0952,-7.0225,140.542,161.97,0.4367,-0.2112,0.8745,355,3
0.0048,0.1773,-6.9831,140.519,162.054,0.4235,-0.1589,0.8918,355,3
0.0046,0.1041,-7.1472,140.777,161.664,0.32,0.6631,0.6767,356,3
0.0034,0.1386,-7.1085,140.85,161.729,0.2831,0.6078,0.7419,356,3
0.0034,0.0506,-7.0688,140.936,161.83,0.2969,0.5284,0.7954,356,3
0.0043,0.103,-7.0513,140.964,161.869,0.2426,0.4778,0.8443,356,3
0.0044,0.0726,-7.0269,141.013,161.956,0.2566,0.4864,0.8352,356,3
0.0046,0.0489,-7.0085,141.048,162.017,0.2917,0.4607,0.8382,356,3
0.0063,0.0611,-6.9903,141.079,162.055,0.1515,0.3027,0.941,356,3
0.0063,0.067,-6.9837,141.21,162.076,0.2384,0.3024,0.9229,356,3
0.006,0.0197,-6.9614,141.23,162.128,-0.0342,0.9972,-0.0665,356,3
0.0032,0.1296,-7.1493,140.786,161.73,0.7864,0.2212,0.5768,357,3
0.0054,0.0827,-7.0459,140.816,161.803,0.7492,0.1844,0.6361,357,3
0.0054,0.0826,-6.982,140.832,161.853,0.6769,0.1471,0.7213,357,3
0.0054,0.1067,-6.9258,140.844,161.913,0.6681,0.1171,0.7348,357,3
0.0072,0.0046,-6.8541,140.857,161.992,0.5877,0.6737,-0.448,357,3
0.0073,0.7487,-6.871,140.86,161.982,0.2197,0.8366,-0.5019,357,3
0.0154,0.2009,-6.7191,141.482,161.619,0.1498,0.9034,0.4019,357,3
0.0081,0.0729,-6.6931,141.665,161.701,0.3439,-0.0054,0.939,357,3
0.0115,0.0641,-6.6756,141.66,161.773,0.3441,0.0264,0.9385,357,3
0.0083,0.1388,-6.6455,141.663,161.83,0.3377,-0.0069,0.9412,357,3
0.0062,0.0724,-6.595,141.664,161.96,0.3305,-0.0208,0.9436,357,3
0.0077,0.1003,-6.5625,141.669,162.025,0.3256,-0.0204,0.9453,357,3
0.0099,0.0993,-6.5412,141.66,162.133,0.7259,0.0741,0.6838,357,3
0.0134,0.0547,-6.4774,141.669,162.208,0.579,-0.3893,0.7164,357,3
0.003,0.0487,-6.4325,141.654,162.239,0.5847,-0.1234,0.8018,357,3
0.0027,0.1215,-6.402,141.647,162.277,0.529,-0.0956,0.8432,357,3
0.0062,0.0597,-7.1821,140.769,161.904,-0.4597,-0.4333,0.7752,358,3
0.017,0.1444,-7.2582,140.719,161.93,-0.2945,-0.1807,0.9384,358,3
0.017,0.0682,-7.3151,140.689,162.061,-0.3478,0.0702,0.9349,358,3
0.0061,0.1845,-7.3619,140.696,162.118,-0.2842,-0.0332,0.9582,358,3
0.0053,0.0913,-7.1483,140.786,161.923,0.6046,0.1004,0.7902,359,3
0.0057,0.1563,-7.0918,140.799,161.995,0.5447,0.0137,0.8385,359,3
0.0057,0.1053,-7.0051,140.802,162.124,0.5872,0.0311,0.8088,359,3
0.0106,0.0646,-6.9472,140.818,162.221,0.7878,-0.2453,0.565,359,3
0.0099,0.2164,-6.8891,140.81,162.253,0.7829,-0.4645,0.4138,359,3
0.0066,0.1788,-7.1759,140.79,161.931,-0.4124,0.2405,0.8787,360,3
0.0048,0.1818,-7.2523,140.836,162.086,-0.3357,0.2719,0.9019,360,3
0.0043,0.0634,-7.3054,140.884,162.255,-0.4676,0.3566,0.8088,360,3
0.0038,0.0624,-7.3326,140.895,162.311,-0.3112,0.2691,0.9114,360,3
0.0034,0.0713,-7.3524,140.913,162.367,-0.2902,0.2464,0.9247,360,3
0.0034,0.0672,-7.3735,140.931,162.433,-0.2516,0.2651,0.9308,360,3
0.0052,0.1071,-7.3905,140.948,162.495,0.6023,-0.3911,0.6959,360,3
0.0041,0.0249,-7.3261,140.902,162.571,0.3734,-0.3107,-0.8741,360,3
0.0043,0.205,-7.325,140.901,162.54,0.5318,-0.3598,-0.7667,360,3
0.0038,0.0846,-7.1509,140.768,161.998,0.2876,-0.6487,0.7046,361,3
0.0047,0.1311,-7.1293,140.709,162.056,0.3586,-0.5189,0.776,361,3
0.0042,0.0698,-7.0805,140.638,162.156,0.2876,-0.429,0.8563,361,3
0.0049,0.1112,-7.0571,140.609,162.215,0.3262,-0.3913,0.8605,361,3
0.005,0.071,-7.0279,140.563,162.312,0.3388,-0.3523,0.8724,361,3
0.0036,0.0768,-6.9986,140.539,162.372,0.3271,-0.2972,0.8971,361,3
0.004,0.0602,-6.9761,140.514,162.442,0.343,-0.1792,0.9221,361,3
0.0071,0.0639,-7.0304,140.548,162.525,0.0758,-0.4194,0.9047,361,3
0.0055,0.0495,-6.9846,140.57,162.626,-0.7977,0.5969,0.0863,361,3
0.0046,0.0512,-7.0246,140.6,162.63,0.2589,-0.4123,0.8735,361,3
0.0047,0.0245,-7.0147,140.579,162.676,0.2326,-0.3981,0.8874,361,3
0.0044,0.1168,-7.0053,140.569,162.696,0.2473,-0.456,0.8549,361,3
0.0058,0.1356,-7.1541,140.792,162.273,-0.7519,-0.4987,-0.4312,362,3
0.0055,0.0973,-7.256,140.724,162.215,-0.3689,-0.2627,0.8916,362,3
0.0044,0.1907,-7.2904,140.699,162.302,-0.3163,-0.2153,0.9239,362,3
0.0032,0.0509,-7.151,140.789,162.279,-0.521,-0.8298,0.1999,363,3
0.0032,0.2369,-7.1854,140.736,162.279,-0.0522,-0.6547,0.7541,363,3
0.0028,0.2225,-7.201,140.593,162.463,-0.1139,-0.3785,0.9186,363,3
0.0037,0.0434,-7.1488,140.805,162.269,-0.2078,0.6861,-0.6972,364,3
0.0037,0.1306,-7.1578,140.834,162.239,0.0767,0.7033,0.7068,364,3
0.0044,0.2425,-7.1396,140.797,162.251,0.5878,0.2744,0.7611,365,3
0.0045,0.1403,-6.9962,140.864,162.435,0.5535,0.229,0.8008,365,3
0.0039,0.0647,-7.1431,140.789,162.298,0.1875,-0.5615,0.806,366,3
0.0039,0.2167,-7.1309,140.753,162.35,0.3193,-0.506,0.8013,366,3
0.0028,0.1301,-7.1484,140.815,162.363,0.0194,0.7124,0.7015,367,3
0.0029,0.0493,-7.1464,140.909,162.453,0.0401,0.6245,0.78,367,3
0.0028,0.2147,-7.1587,140.958,162.509,0.5933,0.755,-0.2792,367,3
